X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
<<<<<<< Updated upstream
1132.89927	8.10119	100.38411	0.14055	-0.45120	172.85022	0.59760	-0.99219	0.12448	-0.00751	-0.12446	-0.99222	-0.00341	-0.00787	-0.00245	0.99997	
1132.89041	8.10441	100.38078	0.13560	-0.46449	172.84453	0.59476	-0.99218	0.12458	-0.00775	-0.12456	-0.99221	-0.00336	-0.00811	-0.00237	0.99996	
1132.94068	8.30609	100.16367	0.28229	-0.79159	172.86342	0.29000	-0.99216	0.12430	-0.01310	-0.12422	-0.99223	-0.00661	-0.01382	-0.00493	0.99989	
1133.24775	8.19618	100.06021	0.15198	-0.99883	172.57253	0.32000	-0.99146	0.12932	-0.01694	-0.12925	-0.99160	-0.00488	-0.01743	-0.00265	0.99984	
1133.23688	8.20685	100.06942	0.15259	-0.93212	172.59372	0.32140	-0.99153	0.12895	-0.01579	-0.12889	-0.99165	-0.00474	-0.01627	-0.00266	0.99986	
1133.20784	8.22131	100.02802	0.16079	-1.03536	172.58321	0.28278	-0.99147	0.12914	-0.01756	-0.12907	-0.99162	-0.00512	-0.01807	-0.00281	0.99983	
1133.21559	8.22684	100.05886	0.17580	-0.98296	172.58498	0.31117	-0.99149	0.12911	-0.01662	-0.12904	-0.99163	-0.00526	-0.01716	-0.00307	0.99985	
1133.20738	8.21983	100.08536	0.16598	-0.96998	172.58037	0.29436	-0.99148	0.12918	-0.01641	-0.12912	-0.99162	-0.00506	-0.01693	-0.00290	0.99985	
1132.88121	8.18867	100.22446	0.05862	-0.94755	172.36777	0.28692	-0.99101	0.13283	-0.01625	-0.13280	-0.99114	-0.00321	-0.01654	-0.00102	0.99986	
1132.87974	8.17002	100.20347	0.07383	-0.98038	172.38876	0.27333	-0.99104	0.13247	-0.01679	-0.13243	-0.99119	-0.00354	-0.01711	-0.00129	0.99985	
1133.01462	8.16300	100.09277	0.04334	-0.90658	172.47511	0.24839	-0.99126	0.13097	-0.01559	-0.13094	-0.99139	-0.00282	-0.01582	-0.00076	0.99987	
1132.98509	8.15815	100.11170	0.05101	-0.81039	172.48581	0.23296	-0.99131	0.13078	-0.01391	-0.13076	-0.99141	-0.00273	-0.01414	-0.00089	0.99990	
1132.85541	8.10500	100.15722	0.06235	-0.65704	172.61066	0.17534	-0.99163	0.12862	-0.01123	-0.12860	-0.99169	-0.00255	-0.01147	-0.00109	0.99993	
1132.90962	8.16154	100.17424	0.15483	-0.81752	172.59790	0.15379	-0.99157	0.12887	-0.01380	-0.12882	-0.99166	-0.00452	-0.01427	-0.00270	0.99989	
1132.88947	8.17863	100.22777	0.11789	-0.72788	172.58694	0.17765	-0.99156	0.12905	-0.01233	-0.12901	-0.99164	-0.00368	-0.01270	-0.00206	0.99992	
1132.90545	8.13547	100.21577	0.13374	-0.71588	172.59593	0.16979	-0.99158	0.12889	-0.01209	-0.12886	-0.99166	-0.00392	-0.01249	-0.00233	0.99992	
1132.90325	8.16425	100.20396	0.09625	-0.71149	172.62291	0.15926	-0.99165	0.12842	-0.01210	-0.12839	-0.99172	-0.00326	-0.01242	-0.00168	0.99992	
1132.88236	8.14544	100.19695	0.14485	-0.71630	172.63046	0.14062	-0.99166	0.12830	-0.01207	-0.12826	-0.99173	-0.00411	-0.01250	-0.00253	0.99992	
